"species","commonname"
"Pinus montezumae","chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; Montezuma Pine; pujuri kanixkuri, Pukuri tepko, Pukuri mansimbo, Pino real, Pino ocotillo, P'ukuri, Pino moctezuma, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; Pino barbudo; ocote escobetón, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pino; Pino lacio, pino; pino, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pino, ocote, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; ya yeri, ocote, yag shegr, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; Pukur terasko, (pino lacio), Ocote blanco, pino; pino moctezuma, pino, ocote, ocote escobetó, ocote escobetón, ocochamate, pino de vara gruesa, pino gordo, ocote toma agua, pino colorado, yutnu-satnu, pino chalmaite blanco, pino lacio, chalmaite blanco, juncia, pino real, pino blanco, chalmaite, ocote blanco, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; ocote, pino, pino blanco, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; Ocochamate, pino; Rough branched Mexican pine; chamaite, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pino moctezuma, chalmaite blanco, pino blanco, pino lacio, pino real, yutnu-satnu, pino chalmaite blanco, pino, ocote, chalmaite, ocote blanco, juncia, ocote escobetón, pino de vara gruesa, pino gordo, ocote escobetó, ocochamate, ocote toma agua, pino colorado, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; ocochamate, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pino colorado, pino; pino lacio, pino; chalmaite blanco (Ver); pino moctezuma; pino real; yutnu-satnu (Oax), chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pukur tepajko, pukuri tepko, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote toma agua, pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; yutnu-satnu, pino chalmaite blanco, pino lacio, chalmaite, ocote escobetón, ocote blanco, pino colorado, pino blanco, pino, ocochamate, chalmaite blanco, ocote toma agua, ocote, juncia, pino moctezuma, ocote escobetó, pino gordo, pino de vara gruesa, pino real, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real; pino lacio, chalmaite blanco, juncia, ocote, ocote blanco, ocote escobetó, ocote escobetón, ocote liso, ocote toma agua, ocotl (Náhuatl), pino, pino blanco, pino colorado, pino de vara gruesa, pino gordo, pino lacio, pino moctezuma, pino real"
"Pinus monticola","western white pine; pin argenté | western white pine | Idaho white pine | mountain white pine | silver pine; モンティコーラマツ"
"Pinus morrisonicola","台灣五葉松; 臺灣五葉松"
"Pinus mugo","Mugo pine; bergtall; Mugo Pine; Dwarf Mountain-pine; Bergden; vanlig bergtall; Dwarf mountain pine; Dwarf pine; Mountain pine; Swiss mountain pine; Bjerg-fyr; Bjerg-fyr (underart); buskfuru; Dwarf mountain pine; Dwarf Swiss mountain pine; BALKANBERGTALL; BERGTALL; Сосна горная; Dwarf mountain pine; Mugo pine; Bjergfyr; Alpe-Bjergfyr; Almindelig Bjergfyr; PINE, MUGO; bjerg-fyr; ムゴマツ; mugo pine; alpefuru; pines; tracheophytes; plants"
"Pinus muricata","Bishop Pine; pino, pino peninsular; bishop pine, pino, pino peninsular; Bishop pine | Muricata pine; pines; tracheophytes; plants"
"Pinus nelsonii","Piñón prieto, Piñonero, pino, pino piñón, pino prieto, piñon colorado, piñon prieto, piñonero, piñón, piñón de Nelson, piñón duro; piñón de Nelson, pino, pino piñón, pino prieto, piñon colorado, piñon prieto, piñonero, piñón, piñón de Nelson, piñón duro; piñón colorado, pino, pino piñón, pino prieto, piñon colorado, piñon prieto, piñonero, piñón, piñón de Nelson, piñón duro; pino, pino piñón, pino prieto, piñon colorado, piñon prieto, piñonero, piñón, piñón de Nelson, piñón duro; pino piñón, pino, pino piñón, pino prieto, piñon colorado, piñon prieto, piñonero, piñón, piñón de Nelson, piñón duro"
"Pinus nigra","Black Pine; Corsican Pine; svarttall; Austrian Pine; Oostenrijkse den; Corsikaanse den; gymnosperms | gymnosperm; Pin noir; Pin noir d'Autriche; Almindelig østrigsk fyr; Østrigsk fyr; Сосновые | Сосна крымская | Сосна Палласа | подвид вида Сосна чёрная; Сосновые | Сосна крымская | Сосна Палласа; Australian pine;Austrian pine;European black pine; Zwarte den; Corsicaanse den;                    Pin de Corse; SVARTTALL; Сосна черная; Sosna Czarna; Сосна Палласова; Black pine; Corsican pine (P. nigra subsp. laricio); Zwarte den | Austrian Pine / Corsican Pine | Pin noir | Schwarzkiefer | Østrigsk fyr; Østrigsk Fyr; PINE, AUSTRIAN; Korsikansk fyr; ヨーロッパクロマツ; østrigsk fyr; オウシュウクロマツ; svartfuru; Pino laricio; black pine; Austrian pine; pines; tracheophytes; plants"
"Pinus occidentalis",""
"Pinus oocarpa","ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); Tsiin, Yaquet misgislas, Chictah, chiyn, Chamaite, Pino, Ocote, Árbol, Blanco ocote, Ocotal, Pino escoba, Pino avellano, Pino prieto, Pino albellano, Palo ocote, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); ocote, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); pino; pino chino, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); Pino; pino, k'antaj, ocote, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); tsin, pino, ocote colorado, ya nichaa, dta til, si'n, xu she, yag gaduri, ocote, la guier, palo de ocote, cuarnis, xlolobá, ya gie she yiedo, ya ga yikhri, ya re, ocote blanco, pop tzin, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); pino escobetón, pino albellano, pino resinoso, ocote chino, pino chino, pino colorado, pino amarillo, pino prieto, ocote de carretilla, pino, pino ocote, ocote, pino trompillo, pino avellano, juncia, ichtaj, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); pino, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); ocote, pino escobetón, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); pino, pino colorado, pino amarillo, pino avellano, pino chino, ichtaj, ocote de carretilla, pino prieto, juncia, ocote, ocote chino, pino resinoso, pino escobetón, pino ocote, pino albellano, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); Pino patula; ichtaj (l. tzeltal, Chis); pino amarillo (Sayula, Jal); pino avellano (Jal); pino prieto (Sin), ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); ocote, pino, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya); juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino resinoso; pino avellano, ocote de carretilla, pino, pino amarillo, juncia, pino resinoso, pino escobetón, pino colorado, ichtaj, ocote, ocote chino, pino prieto, pino albellano, pino ocote, pino chino, ichtaj (Tseltal), juncia, ocote, ocote chino, ocote de carretilla, pino, pino albellano, pino amarillo, pino avellano, pino chino, pino colorado, pino escobetón, pino ocote, pino prieto, pino real, pino resinoso, piñón, taj (Maya)"
"Pinus palustris","Longleaf pine; ダイオウマツ; Southern Yellow Pine; Longleaf pine; Florida pine; ダイオウショウ; Long Leaf Pine"
"Pinus parviflora","ゴヨウマツ; キタゴヨウ; ヒメコマツ; キタゴヨウマツ; ヒメコマツ|ゴヨウマツ; キタゴヨウ|ゴヨウマツ; ヒロハイヌノヒゲ; 섬잣나무; SILVERTALL; ゴヨウマツ(広義）; Japanese White Pine; 日本五針松"
"Pinus patula","Patula Pine; ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; Сосновые | Сосна поникшая; Pino, Ocote, Acochichil, Pino colorado, Pino rojo, Peinador de cerro, Ococecentlu, Ocote de vírgen, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; Pino patula, pino; Oyamel, pino; Pino pátula; Pino Pátula; Pino; Jelecote pine; Spreading-leaved pine; pino colorado, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; pino; pino, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; ocote rojo, yo midyo yo ne, yachina, pino, ocote colorado, piñón, ya piñoli, ya gue iechisaá, ya yeri yatse, ocote, xagashededzaá, patula, pino patula, ya ka kua, ocote chapete, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; Pino patula; Pino Patula; ocote, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; ocote, pino, pino chamaite, pino colorado, ya turia ladsi, ya turia nery, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; Pino Amarillo; Pino llorón; obillo baccharis conferta, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; ocote, pino; Ciprés; Cordoncillo; Olivo de cera; Pino candelabro; Mexican weeping pine;Pino colorado; Pino Patula | Pino Espatula | Barbas de Chivo Y Pino; pino, ciprés, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste; pino llorón, ocote, ocote colorado, ocote liso, ocote rojo, ocotl (Náhuatl), pinabete, pino, pino colorado, pino lacio, pino llorón, pino patula, pino rojo, pino triste"
"Pinus peuce","makedonisk tall; Macedonian Pine; Silke-fyr; MAKEDONISK TALL; silkefuru"
"Pinus pinaster","Maritime pine; Maritime Pine; Zeeden; cluster pine | maritime pine; Pin maritime; Pinheiro-bravo; Pinus pinaster; フランスカイガンマツ; Cluster pine, Maritime Pine, in French: Pin maritime; Pino candelabro; Pino rodeno; オニマツ"
"Pinus pinceana","Pino llorón, piñón largo, Piñón blanco, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino piñonero-llorón, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; piñón de ocote, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pinón blanco, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; piñón blanco, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino piñonero, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino piñón, piñón, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino blanco, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón; pino piñonero, piñón blanco, piñón largo, pino, pino blanco, pino piñonero, pino piñonero llorón, pino piñonero-llorón, pino piñón, piñón"
"Pinus pinea","Italian stone pine; Stone Pine; Italian Stone Pine, Umbrella Pine; Pin parasol; Pinheiro-manso;                    Pin parasol; Pi pinyoner; Сосна итальянская; Pino piñonero"
"Pinus ponderosa","Ponderosa Pine; gultall; pino; Pino blanco, pinabete, pino, pino blanco, pino ponderosa, pino real, pino rojo; Western Yellow-pine; GULTALL; Ponderosa pine; Western Yellow Pine; pinabete, pino, pino blanco, pino ponderosa, pino real, pino rojo; Ponderosa pine; Western yellow pine; blackjack pine;bull pine;ponderosa pine;rock pine;western yellow pine;pinabete; ponderosa pine; pino ponderosa, pinabete, pino, pino blanco, pino ponderosa, pino real, pino rojo; okoko, pinabete, pino, pino blanco, pino ponderosa, pino real, pino rojo; Ponderosa pine; pines; tracheophytes; plants"
"Pinus praetermissa","pino, pino chino, pino prieto; pino trompillo chino, pino, pino chino, pino prieto"
